Dataset Name,Image Name,channel1_color,channel1_min,channel1_max,channel2_color,channel2_min,channel2_max,channel3_color,channel3_min,channel3_max,channel4_color,channel4_min,channel4_max
Neural_markers_CS23,CS23_12602_NKX2.1_OLIG2-Stitching-10X_P4.czi,0000FF,3339,12682,00FF00,683,3166,FF0000,513,3877,,,
Neural_markers_CS23,CS23_12602_NKX2.1_OLIG2-Stitching-10X_P5.czi,0000FF,1813,16379,00FF00,646,2775,FF0000,661,2604,,,
Neural_markers_CS23,CS23_12602_NKX2.1_PAX6-Stitching-10X_P3.czi,0000FF,3154,12329,00FF00,1065,7070,FF0000,1638,5207,,,
Neural_markers_CS23,CS23_12602_NKX2.1_PAX6-Stitching-10X_P4.czi,0000FF,1229,10930,00FF00,492,8929,FF0000,729,5197,,,
Neural_markers_CS23,CS23_12602_NKX2.1_PAX6-Stitching-10X_P5.czi,0000FF,2803,8968,00FF00,1377,5364,FF0000,642,3519,,,
Neural_markers_CS23,CS23_12602_NKX2.1_PAX6_Stitching-10X _P1.czi,0000FF,1188,12697,00FF00,696,7492,FF0000,451,6387,,,
Neural_markers_CS23,CS23_12602_NKX2.1_PAX6_Stitching-10X _P2.czi,0000FF,963,10834,00FF00,1354,7029,FF0000,575,3299,,,
Neural_markers_CS23,CS23_12602_LH6_OLIG2-Stitching-10X_P1.czi,0000FF,1361,16383,00FF00,1679,6176,FF0000,1611,5767,,,
Neural_markers_CS23,CS23_12602_LHX6_OLIG2-Stitching-10X_P2.czi,0000FF,8051,16383,00FF00,735,9926,FF0000,1447,6421,,,
Neural_markers_CS23,CS23_12602_LHX6_OLIG2-Stitching-10X_P4.czi,0000FF,2731,12410,00FF00,335,3001,FF0000,1553,3699,,,
Neural_markers_CS23,CS23_12602_LHX6_OLIG2-Stitching-10X_P5.czi,0000FF,3936,10853,00FF00,860,2695,FF0000,1123,4283,,,
Neural_markers_CS23,CS23_12004_GBX2_FOXP2-Stitching-13.czi,0000FF,1843,15277,00FF00,819,4280,FF0000,1229,3011,,,
Neural_markers_CS23,CS23_12602_GBX2_FOXP2-Stitching-10X_P1.czi,0000FF,2051,16383,00FF00,1147,5136,FF0000,205,16384,,,
Neural_markers_CS23,CS23_12602_GBX2_FOXP2-Stitching-10X_P2.czi,0000FF,5293,16383,00FF00,1597,6148,FF0000,3359,6861,,,
Neural_markers_CS23,CS23_12602_GBX2_FOXP2-Stitching-10X_P3.czi,0000FF,6639,11304,00FF00,1024,4230,FF0000,1420,5176,,,
